Quantidade | Indice
210        | 24749
210        | 25796
210        | 38367
210        | 38711
210        | 44742
210        | 49272
210        | 60119
209        | 49710
208        | 31490
208        | 51555
207        | 3904
207        | 23246
206        | 44076
206        | 60314
205        | 4546
205        | 38715
205        | 54179
205        | 59987
203        | 46118
202        | 42295
201        | 32193
200        | 7279
200        | 25335
200        | 43479
200        | 60926
199        | 59912
199        | 60266
198        | 24516
197        | 13749
197        | 20192
197        | 20978
197        | 53755
196        | 1957
196        | 39044
195        | 15838
195        | 22206
195        | 46158
195        | 48104
195        | 48606
194        | 13680
194        | 25204
193        | 7746
192        | 10399
192        | 56595
191        | 30234
191        | 42848
191        | 51969
190        | 4636
190        | 34483
190        | 45492
190        | 60245
189        | 19937
189        | 24911
189        | 34651
189        | 52897
189        | 56841
189        | 57328
188        | 11350
188        | 25826
188        | 54085
187        | 13526
187        | 35081
187        | 54565
186        | 45357
186        | 51061
185        | 11345
185        | 13795
185        | 27322
184        | 10874
184        | 32576
184        | 42855
183        | 38181
183        | 50749
183        | 53150
182        | 4969
182        | 23364
182        | 33104
181        | 33590
181        | 59189
180        | 24803
180        | 60725
179        | 42540
179        | 56008
179        | 59614
178        | 14690
178        | 23845
177        | 24976
177        | 30370
177        | 40755
177        | 52518
177        | 61246
176        | 22640
176        | 38740
176        | 56424
174        | 19979
174        | 21290
173        | 22885
172        | 34003
171        | 38795
170        | 55944
169        | 42818
168        | 32486
167        | 53239
166        | 13514
166        | 43138
166        | 58057
165        | 39392
165        | 40994
164        | 5331
164        | 6333
164        | 39437
162        | 48830
161        | 15373
161        | 16818
161        | 30435
160        | 35757
159        | 15593
159        | 36208
158        | 14465
158        | 51516
157        | 13638
157        | 34550
157        | 45628
156        | 1035
156        | 48158
156        | 60251
155        | 10719
155        | 13270
155        | 45592
154        | 10656
154        | 12068
153        | 31884
153        | 42396
153        | 52250
153        | 54094
153        | 55569
152        | 54985
151        | 2566
151        | 35045
151        | 48136
151        | 60997
150        | 22455
150        | 37274
150        | 54247
150        | 61517
149        | 36073
149        | 55673
148        | 9276
148        | 22032
148        | 34120
147        | 904
147        | 6431
147        | 7588
147        | 59475
145        | 22180
145        | 23217
145        | 26467
145        | 47209
145        | 49680
145        | 60800
144        | 16652
144        | 21278
144        | 31430
144        | 39651
144        | 49139
143        | 39738
143        | 41254
143        | 46543
142        | 31004
142        | 35180
142        | 57303
141        | 20721
141        | 31905
141        | 33790
140        | 3755
140        | 36219
140        | 36922
140        | 60492
139        | 11128
139        | 22492
139        | 53583
138        | 17325
138        | 44082
138        | 50278
138        | 61217
137        | 3718
137        | 6202
137        | 7452
137        | 51640
137        | 51675
136        | 61293
135        | 14854
135        | 14856
135        | 39263
135        | 49465
134        | 3556
134        | 16123
134        | 22346
134        | 51159
134        | 60257
133        | 3164
133        | 24332
132        | 23252
132        | 33266
132        | 34362
132        | 36760
132        | 54198
131        | 4708
131        | 22505
131        | 43610
131        | 46673
130        | 8040
130        | 22967
130        | 39881
130        | 48716
130        | 57656
129        | 1963
129        | 4355
129        | 19557
129        | 43550
128        | 9005
128        | 41073
128        | 56614
128        | 57436
127        | 6591
127        | 24578
127        | 26062
127        | 34409
127        | 41550
127        | 44171
127        | 49709
127        | 54648
127        | 57966
126        | 13819
126        | 14377
126        | 24087
126        | 38041
126        | 59642
125        | 9022
125        | 16873
125        | 24618
125        | 45282
125        | 47880
125        | 48040
125        | 60007
124        | 21468
124        | 35997
124        | 38781
124        | 42786
124        | 59951
123        | 45691
123        | 60585
122        | 56906
121        | 13506
121        | 43294
121        | 46617
120        | 12156
120        | 27412
120        | 50021
120        | 51801
120        | 55267
119        | 8441
119        | 42208
119        | 55699
118        | 26988
118        | 43114
118        | 49975
118        | 60989
117        | 55931
116        | 14815
116        | 16141
116        | 22771
116        | 34209
116        | 41214
116        | 45903
116        | 50231
116        | 57297
115        | 13200
115        | 15140
115        | 50648
115        | 52858
114        | 5706
113        | 14325
113        | 21500
113        | 44304
113        | 44670
113        | 58825
112        | 121
112        | 28501
112        | 34961
112        | 59087
112        | 60516
111        | 23274
111        | 34363
111        | 38262
110        | 1581
110        | 14077
110        | 17637
110        | 29480
110        | 36372
110        | 37664
110        | 43866
110        | 48434
110        | 50408
110        | 54075
109        | 6939
109        | 26825
109        | 60711
108        | 13975
108        | 17720
108        | 21193
108        | 26102
108        | 61011
107        | 8974
107        | 13898
107        | 39020
107        | 42197
107        | 48644
107        | 54493
106        | 16511
106        | 44634
105        | 21353
105        | 44273
105        | 49605
105        | 57509
104        | 7261
104        | 18723
104        | 26093
104        | 58686
103        | 5407
103        | 33241
103        | 44252
103        | 44641
103        | 45335
103        | 52792
103        | 60611
102        | 21442
102        | 40220
102        | 43189
102        | 43283
102        | 43286
102        | 50963
102        | 53748
102        | 59121
101        | 14671
101        | 19132
101        | 38565
101        | 41464
101        | 57935
101        | 61115
100        | 4555
100        | 4738
100        | 9205
100        | 32199
100        | 44477
100        | 46678
100        | 55519
100        | 61042
99         | 15641
99         | 21130
99         | 33019
99         | 53238
98         | 12077
98         | 19009
98         | 42870
98         | 52292
98         | 59558
97         | 20280
97         | 29857
97         | 51240
97         | 59843
97         | 60030
96         | 3299
96         | 12357
96         | 25805
96         | 34400
96         | 42032
96         | 52762
95         | 11937
95         | 48304
95         | 50114
95         | 54401
95         | 60743
94         | 23849
94         | 28805
94         | 46202
94         | 52003
93         | 44370
93         | 53341
93         | 58281
93         | 58982
93         | 60747
93         | 61170
92         | 20878
92         | 34485
92         | 45608
92         | 55321
92         | 58346
92         | 60316
91         | 744
91         | 2750
91         | 17354
91         | 34519
91         | 40242
91         | 48299
91         | 48578
91         | 50034
91         | 59289
91         | 61358
90         | 17167
90         | 18440
90         | 19744
90         | 24895
90         | 41260
90         | 45861
90         | 50075
90         | 50326
90         | 53931
89         | 6773
89         | 22804
89         | 41579
89         | 54660
88         | 16176
88         | 44552
88         | 58100
87         | 2389
87         | 3235
87         | 39250
87         | 39646
87         | 41536
87         | 46550
87         | 48381
87         | 60201
86         | 20228
86         | 36616
86         | 37827
86         | 46554
86         | 51947
86         | 53779
85         | 13198
85         | 20433
85         | 37007
85         | 38660
85         | 38956
85         | 46253
84         | 7771
84         | 17099
84         | 31375
84         | 34143
84         | 37517
84         | 46235
84         | 47253
84         | 49039
84         | 55085
84         | 55546
83         | 17152
83         | 45376
83         | 60740
82         | 8204
82         | 11160
82         | 16951
82         | 40081
82         | 48584
82         | 53289
81         | 5401
81         | 7518
81         | 13413
81         | 21398
81         | 25166
81         | 34627
81         | 37208
81         | 42557
81         | 44773
81         | 47324
81         | 60742
80         | 749
80         | 3255
80         | 6983
80         | 10628
80         | 14917
80         | 15231
80         | 22734
80         | 25991
80         | 34528
80         | 49251
80         | 52895
80         | 52957
79         | 6786
79         | 6989
79         | 11586
79         | 17469
79         | 17569
79         | 28332
79         | 30461
79         | 31151
79         | 34491
79         | 40680
79         | 41710
79         | 49114
79         | 50401
79         | 51453
79         | 51620
79         | 54387
78         | 15497
78         | 18077
78         | 19332
78         | 27321
78         | 31304
78         | 34466
78         | 42348
78         | 50537
78         | 51460
78         | 52191
78         | 55089
78         | 58026
78         | 58875
77         | 7626
77         | 24532
77         | 37382
77         | 41094
77         | 44633
77         | 50955
77         | 55583
77         | 58846
77         | 59905
77         | 60377
76         | 6482
76         | 9044
76         | 14416
76         | 22179
76         | 34380
76         | 35993
76         | 43662
76         | 44011
76         | 45168
76         | 45224
76         | 56223
76         | 57979
76         | 58877
76         | 59005
76         | 61074
76         | 61214
75         | 15111
75         | 16442
75         | 16906
75         | 18169
75         | 31799
75         | 47911
75         | 49538
75         | 50395
75         | 50663
75         | 59131
75         | 61185
74         | 27393
74         | 29379
74         | 29551
74         | 39949
74         | 47697
74         | 50291
74         | 54925
74         | 60527
74         | 60885
74         | 61043
73         | 16522
73         | 20561
73         | 30739
73         | 37298
73         | 40207
73         | 47117
73         | 61529
72         | 8242
72         | 9110
72         | 37492
72         | 50124
72         | 50543
72         | 59251
72         | 61069
71         | 6819
71         | 14200
71         | 15186
71         | 15478
71         | 24363
71         | 43335
71         | 44766
71         | 61347
70         | 10940
70         | 16172
70         | 24798
70         | 26580
70         | 33202
70         | 34774
70         | 43774
70         | 45604
70         | 49997
70         | 52785
70         | 53503
70         | 55048
70         | 58710
70         | 59067
70         | 60064
70         | 60135
69         | 15747
69         | 37983
69         | 40787
69         | 42231
69         | 44099
69         | 46341
69         | 49561
69         | 55021
69         | 58695
69         | 60807
69         | 61389
68         | 11243
68         | 11692
68         | 16940
68         | 17802
68         | 18074
68         | 22004
68         | 27865
68         | 30774
68         | 33395
68         | 47917
68         | 48181
68         | 48991
68         | 50699
68         | 51816
68         | 52370
68         | 54369
68         | 59099
68         | 59225
67         | 5488
67         | 8982
67         | 16373
67         | 22006
67         | 22238
67         | 22621
67         | 33464
67         | 33814
67         | 36980
67         | 43266
67         | 43451
67         | 43647
67         | 50308
67         | 57870
67         | 60983
67         | 60986
66         | 7564
66         | 15538
66         | 16104
66         | 22240
66         | 27347
66         | 38568
66         | 38571
66         | 39441
66         | 45590
66         | 48367
66         | 48470
66         | 50070
66         | 50718
66         | 56532
66         | 60163
65         | 151
65         | 5926
65         | 13261
65         | 15600
65         | 22857
65         | 37043
65         | 43402
65         | 43649
65         | 49862
65         | 49935
65         | 59096
64         | 8680
64         | 11119
64         | 11403
64         | 12364
64         | 14506
64         | 19024
64         | 23004
64         | 25210
64         | 39103
64         | 45246
64         | 49135
64         | 49705
64         | 56557
64         | 58815
63         | 4650
63         | 9141
63         | 15943
63         | 17219
63         | 19052
63         | 30103
63         | 30978
63         | 38886
63         | 39550
63         | 48242
63         | 54185
63         | 58927
63         | 60006
63         | 61318
62         | 1826
62         | 15282
62         | 18634
62         | 22213
62         | 23881
62         | 39478
62         | 42464
62         | 43968
62         | 55081
62         | 58392
62         | 60255
62         | 61188
61         | 11577
61         | 27720
61         | 33145
61         | 38750
61         | 40948
61         | 41751
61         | 43577
61         | 45352
61         | 48360
61         | 48427
61         | 53915
61         | 54612
61         | 56313
61         | 56981
61         | 60247
60         | 20990
60         | 26118
60         | 49185
60         | 51941
60         | 60017
60         | 60226
59         | 4343
59         | 4900
59         | 15151
59         | 15786
59         | 16231
59         | 36480
59         | 40689
59         | 42008
59         | 42465
59         | 45983
59         | 53403
59         | 55671
59         | 60552
59         | 61528
58         | 2624
58         | 4631
58         | 7977
58         | 12822
58         | 13441
58         | 13917
58         | 30022
58         | 32162
58         | 33667
58         | 33852
58         | 33944
58         | 40825
58         | 43260
58         | 44464
58         | 44725
58         | 47907
58         | 48568
58         | 58084
58         | 60763
57         | 10548
57         | 14271
57         | 18610
57         | 22249
57         | 22692
57         | 23748
57         | 28664
57         | 44896
57         | 45275
57         | 45440
57         | 46521
57         | 48414
57         | 53278
57         | 55466
57         | 56187
57         | 56674
57         | 57128
57         | 59009
57         | 60141
57         | 61416
56         | 1745
56         | 2029
56         | 5600
56         | 8194
56         | 9316
56         | 22146
56         | 22781
56         | 23836
56         | 31274
56         | 35934
56         | 37669
56         | 43966
56         | 51193
56         | 51624
56         | 54161
56         | 54316
56         | 59034
55         | 3127
55         | 15512
55         | 18306
55         | 22025
55         | 23032
55         | 23847
55         | 35317
55         | 40788
55         | 41616
55         | 47847
55         | 50938
55         | 52720
55         | 53236
55         | 54623
55         | 56872
54         | 4078
54         | 6350
54         | 8252
54         | 12329
54         | 13745
54         | 14055
54         | 14820
54         | 16625
54         | 18794
54         | 19720
54         | 20898
54         | 21526
54         | 26959
54         | 34044
54         | 46255
54         | 47992
54         | 48083
54         | 58344
54         | 61171
53         | 331
53         | 3752
53         | 17123
53         | 20470
53         | 20726
53         | 22883
53         | 24992
53         | 33983
53         | 37056
53         | 38980
53         | 43106
53         | 43748
53         | 44266
53         | 51770
53         | 56506
53         | 61349
52         | 12450
52         | 13689
52         | 17121
52         | 20474
52         | 40088
52         | 40295
52         | 41646
52         | 44274
52         | 47872
52         | 50849
52         | 52602
52         | 52915
52         | 54567
52         | 55090
52         | 57270
52         | 59653
52         | 59877
52         | 60727
52         | 60794
52         | 60994
51         | 4866
51         | 8391
51         | 19144
51         | 23441
51         | 34511
51         | 34680
51         | 34727
51         | 38039
51         | 40861
51         | 42757
51         | 43611
51         | 44792
51         | 47571
51         | 47683
51         | 52408
51         | 53957
51         | 54912
51         | 55160
51         | 55172
51         | 57132
51         | 57776
51         | 59540
51         | 60459
50         | 220
50         | 5357
50         | 16456
50         | 24461
50         | 31596
50         | 34071
50         | 43746
50         | 43862
50         | 46430
50         | 46441
50         | 51045
50         | 53038
50         | 53204
50         | 55163
50         | 55675
50         | 56148
50         | 58218
50         | 59168
49         | 3195
49         | 3635
49         | 4860
49         | 6555
49         | 8301
49         | 12419
49         | 18978
49         | 20594
49         | 24805
49         | 25778
49         | 28260
49         | 29994
49         | 37315
49         | 39678
49         | 40759
49         | 46338
49         | 46534
49         | 50279
49         | 52532
49         | 56114
49         | 56642
49         | 57670
49         | 60694
49         | 61045
48         | 1384
48         | 3781
48         | 9639
48         | 11782
48         | 13842
48         | 13956
48         | 15644
48         | 18943
48         | 21599
48         | 24331
48         | 25564
48         | 26735
48         | 33800
48         | 38056
48         | 48314
48         | 49539
48         | 50059
48         | 50713
48         | 50869
48         | 52469
48         | 52608
48         | 53003
48         | 58192
48         | 59014
48         | 60177
48         | 60970
47         | 3617
47         | 8456
47         | 10978
47         | 13804
47         | 16561
47         | 16878
47         | 17821
47         | 18523
47         | 21116
47         | 21151
47         | 21867
47         | 22133
47         | 32758
47         | 33459
47         | 34614
47         | 35733
47         | 38817
47         | 42425
47         | 42660
47         | 43493
47         | 43892
47         | 44890
47         | 47706
47         | 48120
47         | 48968
47         | 49160
47         | 55650
47         | 58810
47         | 59435
47         | 60312
47         | 61284
47         | 61398
46         | 7260
46         | 12952
46         | 13751
46         | 14935
46         | 15037
46         | 21815
46         | 24699
46         | 26298
46         | 33147
46         | 33777
46         | 35975
46         | 39126
46         | 41467
46         | 43070
46         | 43124
46         | 43510
46         | 43732
46         | 44688
46         | 45755
46         | 46571
46         | 47221
46         | 49183
46         | 50477
46         | 50654
46         | 51710
46         | 51895
46         | 61123
45         | 3374
45         | 6171
45         | 11749
45         | 17508
45         | 17737
45         | 22143
45         | 25232
45         | 27237
45         | 33006
45         | 33159
45         | 33927
45         | 36533
45         | 36610
45         | 41972
45         | 42297
45         | 45990
45         | 46011
45         | 46731
45         | 47191
45         | 50080
45         | 50390
45         | 50614
45         | 50774
45         | 54698
45         | 55629
45         | 55808
45         | 56547
45         | 58701
45         | 58703
45         | 59797
45         | 60402
44         | 1020
44         | 9162
44         | 14694
44         | 15296
44         | 19425
44         | 20529
44         | 22714
44         | 22973
44         | 30772
44         | 35016
44         | 35804
44         | 38416
44         | 38866
44         | 40644
44         | 41922
44         | 45374
44         | 48425
44         | 49582
44         | 50830
44         | 51017
44         | 51399
44         | 53253
44         | 53675
44         | 54068
44         | 54211
44         | 56619
44         | 59888
43         | 4305
43         | 4678
43         | 6264
43         | 8777
43         | 13991
43         | 21357
43         | 21753
43         | 24000
43         | 25871
43         | 26067
43         | 28136
43         | 28248
43         | 31655
43         | 35627
43         | 35858
43         | 40657
43         | 40833
43         | 43509
43         | 44029
43         | 45992
43         | 47149
43         | 47734
43         | 48383
43         | 48708
43         | 51503
43         | 54187
43         | 59490
43         | 59665
43         | 59938
43         | 61061
43         | 61166
42         | 3778
42         | 6694
42         | 9757
42         | 16540
